================ Training Loss (Sun Nov 27 20:01:59 2022) ================
(epoch: 13, iters: 64, time: 0.151, data: 6.687) G_GAN: 1.508 G_L1: 42.337 D_real: 0.433 D_fake: 0.342 
(epoch: 25, iters: 128, time: 0.161, data: 0.015) G_GAN: 2.771 G_L1: 20.875 D_real: 0.125 D_fake: 0.084 
(epoch: 38, iters: 64, time: 0.154, data: 6.250) G_GAN: 2.492 G_L1: 15.602 D_real: 2.259 D_fake: 0.079 
(epoch: 50, iters: 128, time: 0.162, data: 0.016) G_GAN: 2.367 G_L1: 13.083 D_real: 0.176 D_fake: 0.436 
(epoch: 63, iters: 64, time: 0.153, data: 6.183) G_GAN: 2.441 G_L1: 11.442 D_real: 0.133 D_fake: 0.138 
(epoch: 75, iters: 128, time: 0.162, data: 0.019) G_GAN: 0.918 G_L1: 9.821 D_real: 0.571 D_fake: 0.535 
(epoch: 88, iters: 64, time: 0.154, data: 6.145) G_GAN: 0.721 G_L1: 9.062 D_real: 0.752 D_fake: 0.201 
(epoch: 100, iters: 128, time: 0.163, data: 0.018) G_GAN: 2.113 G_L1: 8.608 D_real: 0.132 D_fake: 0.632 
(epoch: 113, iters: 64, time: 0.156, data: 6.216) G_GAN: 2.297 G_L1: 8.324 D_real: 0.143 D_fake: 0.807 
(epoch: 125, iters: 128, time: 0.165, data: 0.017) G_GAN: 0.624 G_L1: 8.358 D_real: 1.092 D_fake: 0.259 
(epoch: 138, iters: 64, time: 0.158, data: 5.934) G_GAN: 0.455 G_L1: 7.949 D_real: 1.012 D_fake: 0.103 
(epoch: 150, iters: 128, time: 0.165, data: 0.015) G_GAN: 0.623 G_L1: 7.093 D_real: 1.156 D_fake: 0.194 
(epoch: 163, iters: 64, time: 0.157, data: 5.919) G_GAN: 0.812 G_L1: 7.324 D_real: 0.826 D_fake: 0.155 
(epoch: 175, iters: 128, time: 0.167, data: 0.015) G_GAN: 0.703 G_L1: 7.430 D_real: 0.651 D_fake: 0.261 
(epoch: 188, iters: 64, time: 0.159, data: 6.202) G_GAN: 1.039 G_L1: 7.178 D_real: 0.322 D_fake: 0.626 
(epoch: 200, iters: 128, time: 0.167, data: 0.020) G_GAN: 1.119 G_L1: 6.967 D_real: 0.692 D_fake: 0.284 
(epoch: 213, iters: 64, time: 0.158, data: 6.073) G_GAN: 1.003 G_L1: 6.668 D_real: 0.785 D_fake: 0.263 
(epoch: 225, iters: 128, time: 0.168, data: 0.020) G_GAN: 0.516 G_L1: 5.699 D_real: 0.613 D_fake: 0.334 
(epoch: 238, iters: 64, time: 0.160, data: 6.322) G_GAN: 1.201 G_L1: 6.372 D_real: 0.467 D_fake: 0.357 
(epoch: 250, iters: 128, time: 0.169, data: 0.021) G_GAN: 0.649 G_L1: 5.942 D_real: 1.086 D_fake: 0.254 
(epoch: 263, iters: 64, time: 0.160, data: 6.169) G_GAN: 2.310 G_L1: 5.666 D_real: 0.105 D_fake: 1.115 
(epoch: 275, iters: 128, time: 0.170, data: 0.015) G_GAN: 0.583 G_L1: 5.651 D_real: 0.710 D_fake: 0.311 
(epoch: 288, iters: 64, time: 0.161, data: 6.276) G_GAN: 0.850 G_L1: 5.940 D_real: 0.461 D_fake: 0.706 
(epoch: 300, iters: 128, time: 0.171, data: 0.016) G_GAN: 1.062 G_L1: 5.721 D_real: 0.328 D_fake: 0.631 
(epoch: 313, iters: 64, time: 0.162, data: 6.151) G_GAN: 0.808 G_L1: 5.352 D_real: 0.516 D_fake: 0.599 
(epoch: 325, iters: 128, time: 0.171, data: 0.015) G_GAN: 0.621 G_L1: 5.478 D_real: 1.680 D_fake: 0.294 
(epoch: 338, iters: 64, time: 0.164, data: 6.229) G_GAN: 0.823 G_L1: 5.454 D_real: 0.830 D_fake: 0.308 
(epoch: 350, iters: 128, time: 0.171, data: 0.015) G_GAN: 0.809 G_L1: 4.976 D_real: 0.977 D_fake: 0.238 
(epoch: 363, iters: 64, time: 0.165, data: 6.188) G_GAN: 0.962 G_L1: 5.052 D_real: 1.016 D_fake: 0.268 
