================ Training Loss (Sun Oct 16 23:32:46 2022) ================
(epoch: 13, iters: 64, time: 0.153, data: 5.855) G_GAN: 0.858 G_L1: 14.297 D_real: 0.658 D_fake: 0.592 
(epoch: 25, iters: 128, time: 0.163, data: 0.015) G_GAN: 0.823 G_L1: 9.864 D_real: 0.689 D_fake: 0.684 
(epoch: 38, iters: 64, time: 0.154, data: 5.754) G_GAN: 0.979 G_L1: 8.302 D_real: 0.752 D_fake: 0.535 
(epoch: 50, iters: 128, time: 0.162, data: 0.019) G_GAN: 1.020 G_L1: 7.516 D_real: 0.556 D_fake: 0.769 
(epoch: 63, iters: 64, time: 0.154, data: 6.136) G_GAN: 1.041 G_L1: 7.042 D_real: 0.694 D_fake: 0.543 
(epoch: 75, iters: 128, time: 0.163, data: 0.020) G_GAN: 0.817 G_L1: 8.089 D_real: 0.753 D_fake: 0.482 
(epoch: 88, iters: 64, time: 0.155, data: 5.849) G_GAN: 0.809 G_L1: 5.885 D_real: 0.535 D_fake: 0.702 
(epoch: 100, iters: 128, time: 0.163, data: 0.014) G_GAN: 0.805 G_L1: 5.654 D_real: 0.711 D_fake: 0.552 
(epoch: 113, iters: 64, time: 0.156, data: 6.058) G_GAN: 0.787 G_L1: 5.386 D_real: 0.766 D_fake: 0.493 
(epoch: 125, iters: 128, time: 0.164, data: 0.014) G_GAN: 0.921 G_L1: 6.229 D_real: 0.622 D_fake: 0.695 
(epoch: 138, iters: 64, time: 0.157, data: 5.836) G_GAN: 1.013 G_L1: 6.380 D_real: 0.488 D_fake: 0.769 
(epoch: 150, iters: 128, time: 0.164, data: 0.022) G_GAN: 0.737 G_L1: 5.757 D_real: 0.689 D_fake: 0.658 
(epoch: 163, iters: 64, time: 0.158, data: 6.077) G_GAN: 0.931 G_L1: 4.647 D_real: 0.567 D_fake: 0.655 
(epoch: 175, iters: 128, time: 0.165, data: 0.012) G_GAN: 0.845 G_L1: 5.353 D_real: 0.536 D_fake: 0.646 
(epoch: 188, iters: 64, time: 0.159, data: 6.104) G_GAN: 1.164 G_L1: 4.631 D_real: 0.438 D_fake: 0.753 
(epoch: 200, iters: 128, time: 0.167, data: 0.011) G_GAN: 1.030 G_L1: 4.893 D_real: 0.505 D_fake: 0.711 
(epoch: 213, iters: 64, time: 0.160, data: 5.990) G_GAN: 0.853 G_L1: 4.169 D_real: 0.664 D_fake: 0.572 
(epoch: 225, iters: 128, time: 0.169, data: 0.022) G_GAN: 0.886 G_L1: 4.826 D_real: 0.458 D_fake: 0.797 
(epoch: 238, iters: 64, time: 0.160, data: 6.004) G_GAN: 1.225 G_L1: 4.336 D_real: 0.281 D_fake: 0.961 
(epoch: 250, iters: 128, time: 0.169, data: 0.021) G_GAN: 0.854 G_L1: 4.717 D_real: 0.676 D_fake: 0.437 
(epoch: 263, iters: 64, time: 0.160, data: 6.053) G_GAN: 1.145 G_L1: 3.922 D_real: 0.316 D_fake: 1.010 
(epoch: 275, iters: 128, time: 0.171, data: 0.020) G_GAN: 0.772 G_L1: 4.302 D_real: 0.864 D_fake: 0.374 
(epoch: 288, iters: 64, time: 0.161, data: 6.027) G_GAN: 1.300 G_L1: 4.097 D_real: 0.410 D_fake: 0.682 
(epoch: 300, iters: 128, time: 0.173, data: 0.018) G_GAN: 1.327 G_L1: 4.599 D_real: 0.376 D_fake: 0.754 
(epoch: 313, iters: 64, time: 0.162, data: 5.991) G_GAN: 0.523 G_L1: 4.333 D_real: 1.294 D_fake: 0.208 
(epoch: 325, iters: 128, time: 0.171, data: 0.016) G_GAN: 1.288 G_L1: 4.318 D_real: 0.541 D_fake: 0.583 
(epoch: 338, iters: 64, time: 0.164, data: 5.992) G_GAN: 1.713 G_L1: 4.356 D_real: 0.338 D_fake: 0.728 
(epoch: 350, iters: 128, time: 0.173, data: 0.021) G_GAN: 0.708 G_L1: 4.403 D_real: 0.871 D_fake: 0.387 
(epoch: 363, iters: 64, time: 0.164, data: 5.911) G_GAN: 1.147 G_L1: 3.647 D_real: 0.357 D_fake: 1.003 
(epoch: 375, iters: 128, time: 0.172, data: 0.020) G_GAN: 0.918 G_L1: 4.484 D_real: 0.735 D_fake: 0.488 
(epoch: 388, iters: 64, time: 0.166, data: 6.056) G_GAN: 1.655 G_L1: 3.822 D_real: 0.379 D_fake: 0.840 
(epoch: 400, iters: 128, time: 0.173, data: 0.018) G_GAN: 1.410 G_L1: 3.774 D_real: 0.432 D_fake: 0.629 
(epoch: 413, iters: 64, time: 0.166, data: 6.020) G_GAN: 0.883 G_L1: 3.701 D_real: 0.605 D_fake: 0.479 
(epoch: 425, iters: 128, time: 0.176, data: 0.027) G_GAN: 1.148 G_L1: 3.658 D_real: 0.531 D_fake: 0.863 
(epoch: 438, iters: 64, time: 0.168, data: 6.039) G_GAN: 0.604 G_L1: 3.491 D_real: 0.839 D_fake: 0.480 
(epoch: 450, iters: 128, time: 0.176, data: 0.015) G_GAN: 1.007 G_L1: 3.799 D_real: 0.367 D_fake: 1.075 
(epoch: 463, iters: 64, time: 0.165, data: 6.015) G_GAN: 0.625 G_L1: 3.398 D_real: 1.010 D_fake: 0.326 
(epoch: 475, iters: 128, time: 0.177, data: 0.019) G_GAN: 0.695 G_L1: 3.690 D_real: 0.714 D_fake: 0.462 
(epoch: 488, iters: 64, time: 0.168, data: 5.896) G_GAN: 1.004 G_L1: 3.214 D_real: 0.318 D_fake: 1.235 
(epoch: 500, iters: 128, time: 0.179, data: 0.006) G_GAN: 1.277 G_L1: 4.165 D_real: 1.348 D_fake: 0.364 
(epoch: 513, iters: 64, time: 0.171, data: 6.015) G_GAN: 1.168 G_L1: 3.457 D_real: 0.303 D_fake: 1.116 
(epoch: 525, iters: 128, time: 0.177, data: 0.019) G_GAN: 0.791 G_L1: 3.436 D_real: 0.588 D_fake: 0.563 
(epoch: 538, iters: 64, time: 0.170, data: 5.906) G_GAN: 0.739 G_L1: 3.415 D_real: 0.908 D_fake: 0.433 
(epoch: 550, iters: 128, time: 0.179, data: 0.017) G_GAN: 0.767 G_L1: 3.423 D_real: 0.864 D_fake: 0.386 
(epoch: 563, iters: 64, time: 0.170, data: 6.208) G_GAN: 1.491 G_L1: 3.225 D_real: 0.328 D_fake: 0.967 
(epoch: 575, iters: 128, time: 0.178, data: 0.014) G_GAN: 1.521 G_L1: 3.551 D_real: 0.351 D_fake: 1.027 
(epoch: 588, iters: 64, time: 0.173, data: 6.250) G_GAN: 1.067 G_L1: 3.299 D_real: 0.563 D_fake: 0.507 
(epoch: 600, iters: 128, time: 0.181, data: 0.018) G_GAN: 1.079 G_L1: 3.361 D_real: 0.512 D_fake: 0.631 
(epoch: 613, iters: 64, time: 0.172, data: 6.077) G_GAN: 1.090 G_L1: 3.246 D_real: 0.243 D_fake: 1.099 
(epoch: 625, iters: 128, time: 0.182, data: 0.015) G_GAN: 0.646 G_L1: 3.672 D_real: 0.843 D_fake: 0.448 
(epoch: 638, iters: 64, time: 0.174, data: 5.889) G_GAN: 0.932 G_L1: 2.836 D_real: 0.417 D_fake: 0.805 
(epoch: 650, iters: 128, time: 0.185, data: 0.019) G_GAN: 0.466 G_L1: 3.301 D_real: 1.093 D_fake: 0.278 
(epoch: 663, iters: 64, time: 0.175, data: 6.159) G_GAN: 1.320 G_L1: 3.221 D_real: 0.331 D_fake: 0.857 
